cid,text,time,author,channel,votes,photo,heart
UgygMicc09BU7UjbD5J4AaABAg,i believe learning from a honestly amazed and really happy to learn from,7 months ago (edited),ReVe,UCZnQBZkyRLAYTFpG_mWjkiA,65,https://yt3.ggpht.com/ytc/AKedOLRTodUHxraAR-x-qSHCR9JCfv3t8aHBKOJ1-3UA=s176-c-k-c0x00ffffff-no-rj,False
UgxF4BIiLnJGZctKrtl4AaABAg,just started ml at the age of after having a mathematical i feel ashamed after watching this video but happy cuz this guy explains things better than my phd teacher,2 months ago,Oh Geez,UCTE50iQkhNlRr3r94ASC6hA,13,https://yt3.ggpht.com/ytc/AKedOLR6_7zQqwzubhAMcQCUWFEFLpc8VVJpHxQUlliFPA=s176-c-k-c0x00ffffff-no-rj,False
UgxKbVcY3j2SB3CHj4d4AaABAg,great you are the next sundar pichai and satyam this is what i found the basic gap in our primary education i also came from the same place but at the age of i was wondering how to clear my and during graduation at not able to write proper just see his achievement and way of teaching style at thanks to his mom and dad for great learning to his excellent god bless you wish you for your bright,1 month ago,Ramesh Kumar,UCkXdfbgOpooD_R2U26soKtw,2,https://yt3.ggpht.com/ytc/AKedOLSJuaQGX3Wexp_ak7G2083_HooVxGigADYARbY_Sg=s176-c-k-c0x00ffffff-no-rj,False
UgwIX9gZr0h_ivdttiN4AaABAg,three times age this guy but here to learn hats off,7 months ago,Human,UClAmpEDjU4dzJjOqZb_-iXA,8,https://yt3.ggpht.com/ytc/AKedOLThaPOJl8M56y-Mxniu-qqZIO-A9TyJN9xMARdrow=s176-c-k-c0x00ffffff-no-rj,False
UgyyZ6XjWOh7Hrvcxbl4AaABAg,course contents course introduction fundamentals of machine learning supervised learning and unsupervised learning in depth linear regression logistic regression house price predictor regularization support vector machines stock price predictor principal component analysis learning theory decision trees ensemble learning pt pt stacking ensemble learning unsupervised pt unsupervised pt hierarchical clustering heart failure prediction detector,3 weeks ago,Academiclibrary,UCM_e-IgpiSCn0_dzpBmg7mw,2,https://yt3.ggpht.com/n8LGPZ7kBlGWIBOlCN72b1qwOYLk9VpfmSTEvIDX4ZMa6xqP5ds3ZsArZahGEhUDklT6Qys=s176-c-k-c0x00ffffff-no-rj,False
UgzwFq-GHbgEf142oxt4AaABAg.9RaOx-q5IHM9Rhwx6gNDLB,where could i find the dataset for the,7 months ago,Kushal Banda,UCDWYvcBWx0en31UydluhoGg,0,https://yt3.ggpht.com/ytc/AKedOLSwf7vG_pA4q2pwXAB6BkVVmjf5XkdKURLJNA=s176-c-k-c0x00ffffff-no-rj,False
UgzwFq-GHbgEf142oxt4AaABAg.9RaOx-q5IHM9RiHkrVMGLE,banda dataset are told in the video see how i taken the dataset using api and prepared the,7 months ago (edited),Newera,UC_sl8H2k4xC9RLqyHsnDkcA,0,https://yt3.ggpht.com/h_pAhp1zCDKTlesrjN__Eg1UqClU53rUqlvO_1MKCDx3T-WOBdVHSKFddvjkz4FOdG6h3z65=s176-c-k-c0x00ffffff-no-rj,False
UgzwFq-GHbgEf142oxt4AaABAg.9RaOx-q5IHM9RoOTx7Dfmv,when i was your i was figuring out what the heck i was doing in turbo c in,7 months ago,Mihir Singh Yadav,UCXRN_OZmWUpUtnNtb53CduA,0,https://yt3.ggpht.com/ytc/AKedOLQRyRGMVtxOK2H-rIWLD4BxG4a1e7SwXqhE-BWgaA=s176-c-k-c0x00ffffff-no-rj,False
UgzwFq-GHbgEf142oxt4AaABAg.9RaOx-q5IHM9RrB_dn7sUI,thanks you so wish you healthy and success,7 months ago,NATSU DRAGONEEL,UCD0trv7nJIJ5SQtaLriF2DA,0,https://yt3.ggpht.com/ytc/AKedOLRIJsENfsAmGFv1Wh7gOnjLAy5YmiQmPU4NDqdE=s176-c-k-c0x00ffffff-no-rj,False
UgzwFq-GHbgEf142oxt4AaABAg.9RaOx-q5IHM9RxOlEdwjTC,i seem to find the notebooks used in this can anyone help,6 months ago (edited),Akash Manoj Choudhary,UC33_w6E2iTk-ekGqjFOUd9A,0,https://yt3.ggpht.com/ytc/AKedOLR7i65Jd-R96ApIQotNoe7fZh9Oil2mdGaP8A=s176-c-k-c0x00ffffff-no-rj,False
