channel,votes,heart,about,age,all,am,an,and,are,as,at,be,better,but,by,can,course,dataset,do,done,errata,even,find,for,from,get,good,great,have,he,here,his,how,if,in,is,it,just,kid,know,learn,learning,lot,machine,made,make,man,me,mistakes,ml,more,my,not,now,of,old,olds,on,only,or,over,part,people,predictor,price,programmer,pt,really,regression,same,see,so,some,someone,starting,still,svm,teaching,than,thanks,that,the,this,to,too,unsupervised,very,video,was,watch,way,we,what,when,which,why,will,with,year,years,you,your
UCFXs5OwBSU6i6gsAF8ucwvA,2,False,0.08867529382427207,0.0,0.0,0.0,0.0,0.05078381817804149,0.06445773517296174,0.0,0.0,0.0,0.0,0.08589688957481184,0.0,0.15339834413728945,0.0,0.42109228383401115,0.0,0.0,0.0,0.0,0.0,0.0,0.07699683118135613,0.08892230311458738,0.0,0.0,0.0,0.0,0.0,0.0,0.16396287534016263,0.0,0.16610195788893808,0.060385406854564755,0.0,0.0705500677821898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29583411170162627,0.0,0.08830956290626771,0.0,0.0,0.0,0.5075667802801832,0.07692206353814975,0.0,0.053414789624556355,0.0,0.0,0.16396287534016263,0.0,0.09297610832902267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07431013260969103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07244770731344781,0.3774339544910389,0.0,0.3797944327777401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07437705229055176,0.0,0.0,0.0,0.0
UCjZokRtGwto-NalqanHRF7A,0,False,0.0,0.10790172707860876,0.0,0.0,0.0,0.2852225198294405,0.09050519588777366,0.0,0.3449418493465333,0.0,0.0,0.12060794249531492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927428053350842,0.10811135808770422,0.0,0.0,0.2763970617807746,0.0,0.0,0.0,0.44344219742939833,0.11511025101304516,0.0,0.07774133027242448,0.08478723401420087,0.0,0.0990594486044119,0.0,0.0,0.0,0.09429839380538019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10181074633549522,0.10800637673556236,0.0,0.14999956127228486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11485148728383762,0.11970044493674416,0.0,0.0,0.0,0.0,0.0,0.0,0.11896273985700492,0.0,0.12573922458335993,0.0,0.26497777104831943,0.08171086484781764,0.3047256531156199,0.0,0.0,0.0,0.0,0.11511025101304516,0.0,0.1381985308903873,0.0,0.12450910377841105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2506867772031948,0.12556067111120484
UCQlfgXpF0SR1V-8sBoOF4Nw,0,False,0.0,0.2695368981694136,0.0,0.0,0.0,0.0,0.0,0.0,0.2872198577938478,0.0,0.3266253879775351,0.3012768339759677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24744901897403337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3282013829217435,0.0,0.25432171949935944,0.0,0.0,0.1873483287373617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2792167161582029,0.0,0.0,0.1654776258589844,0.4082250331688558,0.0,0.0,0.0,0.0,0.3266253879775351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC0SWk-FV3iJeyCXNvj_KtdA,2,False,0.0,0.3917335779331684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47622571694278026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47622571694278026,0.0,0.0,0.0,0.0,0.47622571694278026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27228417197988786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3033699608990809,0.0
UCEV1asGsOhuA_zYLOffdIjw,0,False,0.0,0.0,0.0,0.0,0.0,0.061775399427562654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20663383714358607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06735094735830714,0.0,0.0,0.0,0.0,0.0,0.0,0.4901706313671246,0.0,0.1077189909305792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06497581479257442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2787849865259005,0.2787849865259005,0.0,0.557569973051801,0.0,0.22728573430129945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4181774797888508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UClcqMa_Scb2NuwJKVr1aYjA,6,False,0.0,0.41528716439189806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46419025717290896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44303099709257676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48053971401627554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3144849881590731,0.2932034913298039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCKy6K0Yf8tJXBWoDxbYykIQ,50,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5683231188407072,0.0,0.0,0.0,0.0,0.5293629693409627,0.3705337231001202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094000778634156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCXDfHr47zifhraEQbqJ9fhQ,15,False,0.0,0.0,0.0,0.0,0.0,0.1632062895520662,0.20715078479580565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676641809036629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2634675125720128,0.0,0.1779364976677341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2739736748352076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45486631475418265,0.0,0.0,0.0,0.0,0.0,0.2992768876623531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCvblQ4rXJXDb1fE-khqsrxQ,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3494475874049543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14888451626100827,0.0,0.0,0.0,0.0,0.0,0.0,0.7761315511542413,0.0,0.0,0.0,0.27983445724977507,0.30886347447926016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2821978569121616
UCV1kjvaNSJ5SpYXrCAzxm2g,8,False,0.0,0.0,0.0,0.0,0.0,0.29180502212214454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42698778209328103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145643791816944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6839259921107788,0.0
UCeBMFTtlvqsNL5l9FFv11RQ,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46574619718423915,0.0,0.0,0.0,0.0,0.0,0.0,0.5954347383755941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33621117040825493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2864901019320689,0.35337838199174865,0.32946493238668934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCLpv45bZhbKOyzciAX20Taw,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43774715469357106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28536164240640277,0.0,0.0,0.3636131109484557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502584486706452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43937909789077273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2431605289058107,0.2999324363721576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCF4nB2ULrWGhWC60tjzO4BA,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5086584135716572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5897205460434807,0.0,0.0,0.0,0.0,0.0,0.0,0.5436896762101399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31288629222044434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCq1_BYpY7wrDz1p1i0dB36w,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.560683608304313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35261286141725406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5627738647241296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31144947781449833,0.38416514846421884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
